Jometry Game Id,Jarchive Game Id,Season,Game In Season,Date,Podium,Contestant,Jometry Contestant Id,JAtt,JBuz,JCor,JInc,JDD,JFinal$,DJAtt,DJBuz,DJCor,DJInc,DJDD1,DJDD2,DJFinal$,FJCor,FJWager,FJFinal$
318,7240,38,88,01/12/2022,1,Amy Schneider,834,23,14,13,1,,7000,23,18,17,2,-4000,,23000,0,12000,11000
318,7240,38,88,01/12/2022,2,Emma Shirato Almon,953,16,5,3,2,,-200,12,1,1,0,,,200,1,20,220
318,7240,38,88,01/12/2022,3,Ally Bove,954,15,9,9,1,-1000,3200,14,4,4,1,,-5000,3000,0,2000,1000
319,7241,38,89,01/13/2022,1,Amy Schneider,834,22,13,14,0,2000,10400,25,15,15,2,4000,2000,28800,1,4000,32800
319,7241,38,89,01/13/2022,2,Clark Dawson,956,17,8,7,1,,2800,15,1,1,0,,,4000,0,5,3995
319,7241,38,89,01/13/2022,3,Cory Anotado,957,17,8,5,3,,1200,15,11,10,1,,,11200,0,0,11200
320,7242,38,90,01/14/2022,1,Amy Schneider,834,23,14,14,1,2000,9000,20,12,14,0,4000,6000,30200,0,20000,10200
320,7242,38,90,01/14/2022,2,Luis Soto,959,20,10,5,5,,600,11,7,5,2,,,3000,0,2000,1000
320,7242,38,90,01/14/2022,3,Rachel Ostrow,960,19,9,8,1,,3000,15,6,4,2,,,3800,0,2201,1599
321,7243,38,91,01/17/2022,1,Amy Schneider,834,22,15,14,2,-1800,6400,24,19,19,1,4000,,26800,1,10000,36800
321,7243,38,91,01/17/2022,2,Frances Garrison,962,14,5,3,2,,1000,19,7,6,1,,,7800,1,5000,12800
321,7243,38,91,01/17/2022,3,Jorge Quiñones,963,14,6,5,1,,1600,11,2,2,1,,-4000,400,1,400,800
322,7244,38,92,01/18/2022,1,Amy Schneider,834,26,20,20,1,-4000,7400,22,19,20,1,2000,6000,35400,0,20000,15400
322,7244,38,92,01/18/2022,2,Dan Tobin,965,21,4,3,1,,1000,13,4,3,1,,,5000,1,500,5500
322,7244,38,92,01/18/2022,3,Taryn Agati,966,22,5,5,0,,2800,20,6,3,3,,,400,0,400,0
323,7245,38,93,01/19/2022,1,Amy Schneider,834,22,16,15,1,,9000,21,17,19,0,3000,2000,32800,0,15000,17800
323,7245,38,93,01/19/2022,2,Ashley Chow,968,12,5,4,1,,800,16,5,5,0,,,6800,1,5601,12401
323,7245,38,93,01/19/2022,3,Dimitri Apessos,969,19,10,11,0,200,5400,17,4,3,1,,,6200,1,6000,12200
324,7246,38,94,01/20/2022,1,Amy Schneider,834,20,15,16,0,2000,10800,24,21,23,0,5000,5000,46400,1,25000,71400
324,7246,38,94,01/20/2022,2,Patrick Lackey,971,21,10,8,2,,4200,5,3,1,2,,,3000,1,2000,5000
324,7246,38,94,01/20/2022,3,Brittany Love,972,17,8,5,3,,-400,8,4,1,3,,,-2800,,,-2800
325,7247,38,95,01/21/2022,1,Amy Schneider,834,24,18,16,2,,8400,21,17,19,0,2000,4000,34000,1,20000,54000
325,7247,38,95,01/21/2022,2,Avinash Rajendra,974,10,5,6,0,1000,3800,10,5,4,1,,,5400,0,3001,2399
325,7247,38,95,01/21/2022,3,Koré Carey,975,18,6,6,0,,3400,17,1,1,0,,,4200,0,4000,200
326,7248,38,96,01/24/2022,1,Amy Schneider,834,24,16,15,1,,6600,24,20,21,1,4000,5000,37600,0,25000,12600
326,7248,38,96,01/24/2022,2,Erin O'Leary,977,18,9,6,4,-1200,-800,11,2,2,0,,,800,0,799,1
