player,matches,match_wins,races_won,contested_buzzes,race_win_pct,wrong_answers,median_reaction_ms
P2,4,3,94,185,50.8,11,127.8
P1,1,1,54,112,48.2,9,93.0
P6,2,0,36,63,57.1,4,137.8
P7,3,1,34,70,48.6,2,221.0
P5,1,1,33,42,78.6,3,100.8
P25,3,0,32,73,43.8,6,234.4
P3,2,1,31,65,47.7,4,122.7
P4,2,0,28,58,48.3,1,137.1
P8,2,1,27,57,47.4,1,162.3
P29,3,0,27,63,42.9,2,246.6
P9,4,0,25,59,42.4,7,178.5
P21,4,0,23,62,37.1,7,187.2
P24,1,0,21,41,51.2,6,130.7
P16,1,0,19,42,45.2,4,197.5
P27,2,0,12,19,63.2,3,147.9
P28,1,0,12,37,32.4,7,160.4
P31,2,0,10,27,37.0,3,233
Bront,1,0,9,15,60.0,1,343.4
P10,3,0,9,32,28.1,1,278.3
P18,2,0,6,15,40.0,1,309.7
P17,2,0,5,21,23.8,3,139.1
Kip,1,0,5,14,35.7,1,384.8
P23,1,0,2,10,20.0,0,257.6
